cid,x1
11800,0.0001
10756,0.0000
13356,0.0000
11542,0.0000
11543,0.0001
11540,0.0033
11875,0.0000
11546,0.0002
11547,0.0002
11544,0.0001
11548,0.0003
5988,0.0002
5982,0.0000
5983,0.0000
5981,0.0009
5986,0.0001
5987,0.0002
5984,0.0001
5985,0.0032
820,0.0002
6797,0.0001
6794,0.0003
6795,0.0007
6792,0.0010
6793,0.0002
6791,0.0001
6798,0.0004
6799,0.0002
270,0.0028
271,0.0001
273,0.0000
274,0.0010
275,0.0005
276,0.0001
277,0.0000
279,0.0008
12019,0.0003
12018,0.0001
2146,0.0001
12017,0.0001
12016,0.0004
12011,0.0002
12013,0.0000
12012,0.0002
10708,0.0000
9258,0.0000
9524,0.0001
10702,0.0002
10701,0.0004
9255,0.0001
9520,0.0001
9521,0.0001
9250,0.0001
10704,0.0001
2143,0.0001
3519,0.0002
4529,0.0002
3513,0.0000
3511,0.0019
3510,0.0004
3517,0.0007
3516,0.0002
3514,0.0013
2688,0.0043
2689,0.0002
2685,0.0000
2686,0.0002
2681,0.0002
99,0.0003
98,0.0012
91,0.0000
90,0.0001
93,0.0001
92,0.0003
94,0.0044
96,0.0002
13058,0.0004
13050,0.0002
13051,0.0001
13056,0.0982
13054,0.0007
13055,0.0000
8243,0.0001
1177,0.0002
1176,0.0004
1175,0.0000
1174,0.0001
1172,0.0009
1179,0.0039
1610,0.0001
7188,0.0002
1986,0.0003
877,0.0002
7180,0.0007
7181,0.0002
7182,0.0000
7184,0.0001
875,0.0001
3434,0.0002
621,0.0001
3435,0.0004
12833,0.0006
12832,0.0000
12831,0.0001
12830,0.0000
8549,0.0002
8548,0.0000
12835,0.0006
8018,0.0041
8017,0.0026
8544,0.0001
8015,0.0073
871,0.0023
8541,0.0003
8011,0.0002
8010,0.0003
7456,0.0005
7457,0.0002
7454,0.0006
7455,0.0020
7452,0.0001
1221,0.0001
7450,0.0001
7451,0.0003
1220,0.0001
2743,0.0002
7458,0.0002
4596,0.0001
2744,0.0001
4732,0.0000
4594,0.0523
2030,0.0000
4730,0.0002
10884,0.0001
10885,0.0009
10880,0.0000
10882,0.0001
10883,0.0375
4736,0.0001
10888,0.0001
4598,0.0001
12877,0.0003
4737,0.0001
8291,0.0007
4847,0.0000
13605,0.0001
13604,0.0002
8292,0.0003
4842,0.0001
2314,0.0002
6533,0.0000
4739,0.0000
6531,0.0002
393,0.0002
391,0.0001
390,0.0001
396,0.0001
395,0.0005
13618,0.0002
4728,0.0001
2301,0.0001
2300,0.0005
4727,0.0480
2302,0.0004
13610,0.0002
4720,0.0002
4723,0.0009
13613,0.0001
11288,0.0012
5845,0.0002
5844,0.0001
5843,0.0003
5842,0.0001
11281,0.0006
11280,0.0001
11283,0.0001
11282,0.0000
11285,0.0001
11284,0.0000
5849,0.0013
11286,0.0002
3748,0.0004
3749,0.0001
3746,0.0001
3747,0.0002
3745,0.0000
3743,0.0003
3740,0.0006
13531,0.0001
13530,0.0001
13533,0.0014
13532,0.0001
4624,0.0001
4625,0.0002
13537,0.0003
4627,0.0088
13539,0.0002
4629,0.0005
11756,0.0002
11755,0.0001
11754,0.0002
11753,0.0119
11752,0.0003
11750,0.0005
11759,0.0000
179,0.0029
178,0.0003
13287,0.0009
13286,0.0006
13285,0.0016
174,0.0005
13281,0.0001
10390,0.0004
10392,0.0019
10394,0.0003
10395,0.0013
10396,0.0002
10397,0.0001
10398,0.0000
10399,0.0000
7218,0.0000
7219,0.0058
13545,0.0001
7210,0.0003
7211,0.0110
7212,0.0001
7214,0.0006
7217,0.0004
6216,0.0004
6215,0.0132
12225,0.0003
6213,0.0001
6212,0.0001
6211,0.0006
12221,0.0023
10258,0.0003
6219,0.0006
6218,0.0000
4653,0.0001
6813,0.0001
4652,0.0001
6815,0.0001
6817,0.0001
6816,0.0013
9757,0.0061
9756,0.0003
9755,0.0003
10578,0.0004
10579,0.0001
9751,0.0004
10577,0.0000
10570,0.0000
10571,0.0000
9759,0.0016
10573,0.0003
8848,0.0000
8849,0.0003
8841,0.0001
8842,0.0004
8843,0.0003
8844,0.0003
8846,0.0003
8847,0.0015
11848,0.0320
7668,0.0002
7661,0.0011
7660,0.0001
7663,0.0001
7665,0.0110
7664,0.0005
7666,0.0006
11842,0.0003
1769,0.0006
1762,0.0000
1763,0.0003
1760,0.0005
1761,0.0003
1766,0.0000
1767,0.0012
1764,0.0001
1765,0.0008
692,0.0005
11118,0.0003
696,0.0002
697,0.0001
1541,0.0001
11111,0.0003
11112,0.0001
1548,0.0001
11116,0.0015
8710,0.0000
8713,0.0002
8714,0.0001
8715,0.0001
8716,0.0007
8719,0.0009
13841,0.0001
13845,0.0004
11775,0.0000
13847,0.0002
13846,0.0001
13848,0.0006
7881,0.0001
7880,0.0002
7883,0.0001
5618,0.0002
5619,0.0848
5613,0.0000
5610,0.0006
5611,0.0001
5617,0.0001
5615,0.0010
5717,0.0000
12749,0.0001
11568,0.0010
11569,0.0005
11560,0.0002
11561,0.0002
11562,0.0001
11565,0.0001
11567,0.0000
9256,0.0001
9257,0.0001
9254,0.0002
9527,0.0000
9253,0.0004
9522,0.0001
9251,0.0000
6778,0.0005
6779,0.0003
6774,0.0012
6775,0.0000
6776,0.0001
6770,0.0001
6772,0.0018
9964,0.0010
9965,0.0001
9966,0.0000
9967,0.0001
9961,0.0000
9962,0.0002
9963,0.0000
9968,0.0001
9969,0.0001
258,0.0002
252,0.0002
250,0.0000
256,0.0002
257,0.0001
254,0.0001
255,0.0000
12039,0.0004
12032,0.0001
12031,0.0001
12030,0.0001
12037,0.0000
12035,0.0004
12034,0.3593
2790,0.0001
9508,0.0018
9509,0.0000
9502,0.0000
9503,0.0002
9500,0.0001
9501,0.0023
9506,0.0003
9507,0.0006
9504,0.0015
9505,0.0009
3689,0.0003
3683,0.0001
3681,0.0010
3680,0.0001
3687,0.0000
3686,0.0024
3684,0.0003
2518,0.0002
2519,0.0001
2514,0.0001
2066,0.0002
2516,0.0140
2517,0.0000
3533,0.0014
5058,0.0001
3534,0.0002
5054,0.4585
5055,0.0001
5057,0.0003
5050,0.0004
5051,0.0000
5053,0.0001
10761,0.0001
10763,0.0002
10762,0.0001
10764,0.0003
10767,0.0009
10766,0.0003
10769,0.0000
10768,0.0001
12742,0.0001
13897,0.0006
4165,0.0002
4663,0.0000
4163,0.0003
13070,0.0003
13071,0.0000
13072,0.0014
13073,0.0000
13075,0.0000
13076,0.0003
13077,0.0002
13078,0.0001
10040,0.0001
2434,0.0000
7896,0.0000
10185,0.0005
10187,0.0001
10186,0.0001
10181,0.0005
10180,0.0000
10183,0.0000
10182,0.0017
10189,0.0002
10188,0.0000
1159,0.0000
1155,0.0001
1154,0.0001
1157,0.0001
1151,0.0001
1150,0.0002
1152,0.0001
8035,0.0000
8037,0.0002
8036,0.0002
8032,0.0002
8039,0.0005
8038,0.0030
12859,0.0003
12858,0.0021
12589,0.0001
8528,0.0009
13566,0.0001
12851,0.0004
8522,0.0000
8521,0.0004
12852,0.0150
12855,0.0134
12586,0.0007
12585,0.0010
12856,0.0005
13567,0.0007
12104,0.0009
7268,0.0001
4299,0.0000
4298,0.0000
13984,0.0000
13985,0.0001
4297,0.0002
4296,0.0002
4291,0.0001
13981,0.0005
4293,0.0030
13562,0.0021
10432,0.0001
4749,0.0003
4748,0.0002
12234,0.0004
4743,0.0001
13673,0.0002
4740,0.0000
13676,0.0000
4746,0.0004
4745,0.0002
4744,0.0004
10435,0.0001
12236,0.0005
5868,0.0001
5865,0.0001
12231,0.0004
5867,0.0030
5860,0.0001
12230,0.0000
2183,0.0000
2182,0.0003
2181,0.0004
2187,0.0003
2186,0.0013
13519,0.0004
4609,0.0005
13517,0.0003
13516,0.0003
2189,0.0007
2188,0.0003
4602,0.0004
4603,0.0006
13511,0.0058
13510,0.0154
12420,0.0061
6906,0.0001
8680,0.0146
12423,0.0002
8686,0.0002
12425,0.0001
150,0.0002
153,0.0001
154,0.0000
157,0.0002
8685,0.0000
13913,0.0010
13912,0.0003
8689,0.0012
4206,0.0002
6187,0.0001
6185,0.0003
6183,0.0004
6182,0.0003
6180,0.0001
6189,0.0001
6188,0.0005
2727,0.0000
2726,0.0001
2725,0.0004
2724,0.0016
2721,0.0000
2720,0.0001
2728,0.0016
9191,0.0004
7237,0.0009
7947,0.0017
7232,0.0229
9194,0.0015
10378,0.0021
9196,0.0002
10376,0.0001
10377,0.0022
10374,0.0003
6801,0.0004
10373,0.0001
7238,0.0001
7239,0.0008
9744,0.0001
9746,0.0002
10560,0.0003
6239,0.0001
6238,0.0001
12204,0.0001
6234,0.0004
6237,0.0008
12207,0.1016
12200,0.0003
6230,0.0001
12202,0.0006
