mid,x1e
1,0.0004
2,0.0001
3,0.0003
4,0.0010
5,0.0016
6,0.0017
7,0.0001
9,0.0002
11,0.0001
12,0.0002
13,0.0013
14,0.0005
15,0.0034
17,0.0016
18,0.0004
19,0.0024
20,0.0039
21,0.0005
22,0.0004
23,0.0006
24,0.0001
25,0.0066
26,0.0003
27,0.0005
28,0.0009
29,0.0001
30,0.0002
31,0.0014
33,0.0003
34,0.0002
35,0.0027
36,0.0002
37,0.0007
38,0.0002
39,0.0010
40,0.0044
41,0.0002
42,0.0382
43,0.0001
44,0.0006
45,0.0005
46,0.0001
47,0.0006
48,0.0011
49,0.0002
50,0.0009
51,0.0001
52,0.0002
53,0.0005
54,0.0003
55,0.0011
56,0.0002
57,0.0008
58,0.0792
59,0.0000
60,0.0008
61,0.0003
62,0.0002
63,0.0004
64,0.0003
66,0.0005
68,0.0008
69,0.0010
70,0.0000
71,0.0001
72,0.0021
73,0.0003
74,0.0027
75,0.0036
76,0.0067
77,0.0011
78,0.0001
79,0.0092
81,0.0010
82,0.0001
83,0.0009
84,0.0003
85,0.0012
86,0.0011
87,0.0027
88,0.0010
90,0.0001
92,0.0035
93,0.0019
94,0.0005
95,0.0001
96,0.0131
97,0.0002
98,0.0005
99,0.0002
100,0.0003
101,0.0003
102,0.0001
103,0.0001
104,0.0006
105,0.0012
106,0.0003
107,0.0003
108,0.0001
109,0.0011
110,0.0009
111,0.0002
112,0.0018
113,0.0029
114,0.0001
115,0.0001
116,0.0001
118,0.0002
119,0.0003
120,0.0063
121,0.0003
122,0.0058
125,0.0153
127,0.0001
128,0.0002
129,0.0609
130,0.0007
131,0.0004
132,0.0017
133,0.0013
134,0.0009
135,0.0001
136,0.0002
137,0.0001
138,0.0002
139,0.0003
140,0.0008
141,0.0001
142,0.0002
143,0.0014
144,0.0001
145,0.0003
146,0.0004
147,0.0007
149,0.0011
150,0.0046
151,0.0001
152,0.0002
153,0.0003
154,0.0006
155,0.0004
156,0.0002
157,0.0003
158,0.0000
159,0.0004
160,0.0004
161,0.0000
162,0.0005
163,0.0002
165,0.0044
166,0.0005
167,0.0003
