mid,x1e
1,0.0003
2,0.0002
3,0.0007
4,0.0002
5,0.0016
6,0.0009
7,0.0003
9,0.0002
11,0.0004
12,0.0003
13,0.0018
14,0.0006
15,0.0047
17,0.0014
18,0.0008
19,0.0017
20,0.0032
21,0.0009
22,0.0006
23,0.0006
24,0.0004
25,0.0047
26,0.0008
27,0.0013
28,0.0018
29,0.0002
30,0.0002
31,0.0034
33,0.0006
34,0.0004
35,0.0057
36,0.0005
37,0.0018
38,0.0006
39,0.0026
40,0.0027
41,0.0004
42,0.0360
43,0.0003
44,0.0007
45,0.0002
46,0.0002
47,0.0003
48,0.0014
49,0.0004
50,0.0011
51,0.0002
52,0.0006
53,0.0010
54,0.0006
55,0.0018
56,0.0004
57,0.0004
58,0.0507
59,0.0001
60,0.0019
61,0.0003
62,0.0004
63,0.0009
64,0.0003
66,0.0004
68,0.0008
69,0.0004
70,0.0001
71,0.0002
72,0.0011
73,0.0004
74,0.0023
75,0.0047
76,0.0119
77,0.0007
78,0.0003
79,0.0119
81,0.0005
82,0.0002
83,0.0014
84,0.0005
85,0.0017
86,0.0013
87,0.0049
88,0.0008
90,0.0003
92,0.0007
93,0.0002
94,0.0011
95,0.0004
96,0.0059
97,0.0003
98,0.0010
99,0.0004
100,0.0003
101,0.0009
102,0.0003
103,0.0001
104,0.0004
105,0.0014
106,0.0006
107,0.0004
108,0.0002
109,0.0019
110,0.0018
111,0.0004
112,0.0039
113,0.0034
114,0.0001
115,0.0001
116,0.0004
118,0.0001
119,0.0010
120,0.0014
121,0.0004
122,0.0048
125,0.0128
127,0.0001
128,0.0001
129,0.0451
130,0.0020
131,0.0005
132,0.0022
133,0.0011
134,0.0018
135,0.0004
136,0.0002
137,0.0002
138,0.0006
139,0.0004
140,0.0004
141,0.0003
142,0.0004
143,0.0009
144,0.0002
145,0.0006
146,0.0008
147,0.0004
149,0.0003
150,0.0031
151,0.0002
152,0.0003
153,0.0004
154,0.0013
155,0.0004
156,0.0007
157,0.0007
158,0.0001
159,0.0009
160,0.0003
