mid,x1
1,0.03
2,0.05
3,0.05
4,0.05
5,0.07
6,0.03
7,0.03
8,0.03
9,0.03
11,0.05
12,0.05
13,0.05
14,0.07
15,0.05
17,0.07
18,0.05
19,0.05
20,0.12
21,0.05
22,0.03
23,0.05
24,0.05
25,0.15
26,0.03
27,0.03
28,0.07
29,0.03
30,0.03
31,0.03
32,0.03
33,0.05
34,0.05
35,0.10
36,0.05
37,0.03
38,0.03
39,0.07
40,0.07
41,0.03
42,0.12
43,0.05
44,0.05
45,0.03
46,0.03
47,0.03
48,0.05
49,0.03
50,0.05
51,0.03
52,0.03
53,0.05
54,0.03
55,0.07
56,0.05
57,0.03
58,0.10
59,0.03
60,0.10
61,0.05
62,0.05
63,0.07
64,0.03
66,0.03
68,0.03
69,0.05
70,0.05
71,0.05
72,0.07
73,0.07
74,0.12
75,0.12
76,0.12
77,0.05
78,0.03
79,0.07
81,0.07
82,0.03
83,0.07
84,0.05
85,0.07
86,0.05
87,0.05
88,0.05
90,0.03
92,0.05
93,0.05
94,0.05
95,0.03
96,0.10
97,0.03
98,0.03
99,0.03
100,0.05
101,0.03
102,0.05
103,0.03
104,0.03
105,0.07
106,0.05
107,0.05
108,0.05
109,0.15
110,0.05
111,0.03
112,0.07
113,0.07
114,0.05
115,0.03
116,0.03
118,0.03
119,0.03
120,0.05
121,0.03
122,0.10
125,0.17
127,0.05
128,0.05
129,0.07
130,0.07
131,0.05
132,0.07
133,0.07
134,0.05
135,0.03
136,0.03
137,0.05
138,0.05
139,0.05
140,0.07
141,0.03
142,0.05
143,0.05
144,0.03
145,0.03
146,0.05
147,0.03
148,0.03
149,0.05
150,0.05
151,0.05
152,0.07
153,0.03
154,0.03
155,0.05
156,0.03
157,0.07
158,0.03
159,0.07
160,0.05
161,0.03
162,0.05
163,0.05
165,0.07
166,0.05
167,0.03
168,0.03
169,0.05
170,0.03
171,0.33
172,0.05
173,0.05
175,0.12
176,0.05
177,0.03
178,0.07
179,0.05
180,0.03
181,0.03
182,0.03
183,0.05
184,0.03
185,0.05
187,0.10
188,0.03
189,0.05
190,0.07
191,0.03
193,0.05
194,0.05
195,0.03
196,0.07
197,0.05
198,0.03
199,0.03
200,0.05
201,0.10
202,0.03
203,0.03
204,0.03
205,0.05
206,0.05
207,0.12
208,0.12
209,0.57
210,0.05
211,0.10
212,0.30
213,0.03
214,0.03
215,0.05
216,0.05
217,0.03
218,0.10
219,0.05
220,0.03
221,0.05
222,0.05
223,0.05
224,0.03
225,0.05
226,0.05
227,0.05
228,0.03
229,0.05
230,0.05
231,0.03
232,0.03
233,0.07
234,0.05
235,0.07
236,0.03
237,0.03
238,0.03
239,0.05
240,0.05
241,0.03
242,0.05
243,0.03
244,0.03
245,0.05
246,0.12
247,0.03
248,0.05
249,0.03
250,0.07
251,0.05
253,0.05
255,0.05
256,0.05
257,0.03
258,0.03
259,0.07
261,0.03
262,0.10
263,0.05
265,0.03
266,0.05
267,0.03
268,0.05
269,0.05
270,0.03
271,0.05
272,0.05
273,0.07
274,0.05
275,0.05
276,0.05
277,0.05
278,0.05
279,0.03
280,0.03
281,0.07
282,0.03
283,0.03
284,0.05
285,0.05
286,0.17
287,0.03
288,0.07
289,0.07
290,0.05
291,0.07
292,0.03
293,0.03
294,0.03
295,0.05
296,0.05
297,0.05
298,0.05
299,0.05
300,0.03
301,0.03
302,0.03
303,0.07
304,0.07
305,0.07
306,0.03
307,0.05
308,0.05
310,0.03
311,0.05
312,0.03
313,0.05
314,0.07
315,0.03
316,0.05
317,0.07
318,0.05
319,0.03
321,0.10
323,0.05
324,0.05
325,0.05
326,0.05
327,0.05
328,0.05
329,0.03
330,0.15
331,0.03
332,0.03
333,0.03
334,0.05
335,0.03
336,0.03
337,0.05
338,0.03
339,0.10
340,0.03
341,0.05
342,0.07
343,0.05
344,0.05
345,0.05
346,0.05
347,0.05
348,0.03
349,0.03
350,0.05
351,0.07
353,0.03
354,0.03
355,0.05
356,0.03
357,0.05
358,0.05
359,0.05
360,0.03
361,0.07
362,0.03
363,0.03
364,0.03
365,0.03
366,0.03
367,0.03
368,0.07
369,0.03
370,0.05
371,0.05
372,0.05
373,0.05
374,0.03
375,0.05
376,0.03
377,0.05
378,0.03
379,0.03
380,0.23
381,0.05
382,0.15
383,0.03
384,0.05
385,0.10
386,0.10
387,0.05
388,0.12
389,0.05
390,0.03
391,0.10
392,0.03
393,0.03
394,0.03
395,0.10
396,0.05
397,0.12
398,0.07
399,0.05
400,0.05
401,0.03
402,0.03
403,0.05
405,0.03
406,0.05
407,0.05
408,0.05
409,0.05
410,0.10
411,0.10
412,0.05
413,0.03
414,0.03
415,0.03
416,0.07
417,0.05
419,0.05
420,0.05
421,0.05
422,0.05
423,0.05
424,0.03
425,0.03
426,0.03
427,0.05
428,0.07
429,0.03
430,0.05
431,0.05
432,0.05
433,0.05
434,0.05
435,0.07
436,0.05
437,0.05
438,0.05
440,0.10
441,0.07
442,0.05
443,0.05
445,0.03
446,0.03
447,0.05
448,0.03
449,0.07
450,0.50
451,0.10
452,0.03
453,0.05
454,0.05
455,0.03
456,0.05
457,0.07
458,0.05
459,0.05
460,0.03
461,0.17
462,0.07
463,0.07
464,0.17
465,0.03
468,0.03
469,0.03
470,0.03
471,0.05
472,0.03
474,0.03
475,0.03
476,0.03
477,0.05
478,0.07
479,0.03
480,0.05
481,0.03
482,0.03
483,0.05
484,0.05
485,0.03
486,0.05
487,0.05
488,0.05
489,0.05
490,0.05
491,0.03
492,0.07
493,0.03
494,0.05
