uid,x1
3670017,0.006
1572869,0.006
524296,0.126
5155500,0.006
3670026,0.006
5242892,0.023
2097165,0.006
7165272,0.011
349529,0.006
6291480,0.006
4194332,0.006
2097157,0.017
3145760,0.006
4194343,0.114
7340072,0.126
6815786,0.074
1572909,0.006
7340078,0.126
4194351,0.011
2097200,0.006
6815795,0.046
5242933,0.023
2621494,0.011
4718650,0.006
3145787,0.011
5242941,0.006
4194372,0.011
349537,0.051
4194376,0.011
524361,0.017
6291533,0.006
2621453,0.029
3145809,0.011
6815828,0.011
1572954,0.011
5767262,0.006
5242976,0.006
3670122,0.017
5767276,0.006
5767281,0.006
2097266,0.006
1572979,0.006
1048693,0.006
2970985,0.023
5767289,0.143
524412,0.023
1572989,0.006
3670142,0.006
5243009,0.006
1048706,0.006
3670148,0.011
6291591,0.006
7340172,0.006
2097297,0.080
7340178,0.011
3670164,0.006
4718746,0.006
3670171,0.006
3670173,0.006
6389663,0.006
165,0.069
6815912,0.074
5767196,0.006
524458,0.006
4106951,0.006
5767341,0.017
4718768,0.017
2621617,0.011
1048754,0.029
5243059,0.029
6553630,0.011
5155529,0.051
184,0.006
5243065,0.006
1048763,0.006
5243073,0.040
2097349,0.011
6553633,0.006
524492,0.006
2796237,0.006
5243089,0.017
6291667,0.006
3145942,0.034
215,0.006
4194522,0.011
6815967,0.006
2097382,0.006
1048808,0.069
6815979,0.006
2621679,0.023
471376,0.006
1048819,0.006
6291704,0.023
1048832,0.006
6291715,0.017
4718853,0.023
524551,0.006
2097416,0.006
4944098,0.017
698332,0.006
3145998,0.017
3146003,0.051
5505070,0.006
2621719,0.006
5243160,0.080
7340314,0.006
285,0.006
2097438,0.034
6816041,0.006
1573166,0.006
6291761,0.006
3146035,0.006
3670326,0.006
3670328,0.017
1573178,0.006
315,0.017
316,0.034
3351962,0.046
3670069,0.006
5243206,0.011
1922444,0.011
1573195,0.057
4893410,0.006
3670350,0.086
4194640,0.006
5767506,0.006
6291795,0.080
5243224,0.011
1048921,0.017
1573211,0.006
5243232,0.011
7340385,0.006
2621794,0.006
4718948,0.057
524645,0.097
4312158,0.006
3146094,0.051
2621809,0.011
4194678,0.006
1485545,0.029
1573240,0.023
2097529,0.006
6029375,0.006
3495317,0.029
7340418,0.011
1573254,0.006
524682,0.029
3670415,0.006
2621841,0.006
4718995,0.011
1048985,0.011
5243290,0.017
417,0.017
4194723,0.046
3146148,0.011
1573285,0.006
5243304,0.006
435,0.006
6291893,0.006
5767606,0.006
6291896,0.011
4194745,0.006
7340478,0.023
448,0.074
3670465,0.023
6816194,0.023
452,0.011
5767622,0.017
3146184,0.091
3670473,0.023
2621899,0.006
4194766,0.006
2097618,0.006
467,0.034
470,0.006
5155577,0.046
4194781,0.011
4194782,0.006
7340513,0.011
5767651,0.029
17474,0.034
5243365,0.006
6291942,0.006
3670503,0.011
524776,0.011
489,0.006
7340522,0.006
1136039,0.011
2621932,0.006
1573357,0.017
2534141,0.017
5243379,0.006
6378921,0.040
1049089,0.029
4312163,0.017
3146244,0.029
2621957,0.011
6291974,0.006
4194825,0.017
3146250,0.011
2621963,0.011
6291982,0.006
1049104,0.006
7340561,0.023
2621970,0.074
2097688,0.006
5767706,0.006
2097698,0.017
2097702,0.006
3757489,0.006
7340585,0.006
3146283,0.006
6292014,0.017
4194867,0.017
3670580,0.006
7340126,0.011
7340600,0.017
5767738,0.011
5243451,0.183
3146304,0.017
4719169,0.006
4194882,0.006
5767751,0.006
7340616,0.040
5767754,0.109
524877,0.006
7340624,0.006
3670611,0.006
2622036,0.006
524886,0.006
6816343,0.006
3146329,0.011
5243486,0.023
2359397,0.017
3146337,0.006
524898,0.011
6292073,0.029
1049195,0.006
5918310,0.011
524910,0.006
7340655,0.023
5243504,0.006
1049206,0.011
3407977,0.006
