user_key,x1
4671707;7019,20160129
627720;3381,20160128
5649954;5341,20160131
6781753;1080,20160517
4919593;2436,20160521
4035468;2934,20160322
277868;3532,20160323
1776919;1469,20160604
2738727;2099,20160207
6993610;8144,20160322
5661096;171,20160506
4779680;8840,20160609
3782664;3284,20160325
816385;4195,20160326
5421545;7838,20160305
2952450;2099,20160207
807817;5341,20160207
2235958;8305,20160511
5062030;5152,20160324
1344809;760,20160325
1265156;7884,20160102
5125079;3381,20160129
2932165;7019,20160129
6057785;7555,20160124
1575622;6485,20160326
1734587;1125,20160525
3535701;3381,20160125
617207;2436,20160523
3785479;8386,20160124
7257562;1865,20160524
1898355;5341,20160127
383129;2934,20160323
1210120;4860,20160130
1225533;5084,20160608
1158261;2709,20160131
6326200;4142,20160129
5310553;6485,20160324
2132418;3381,20160129
4631753;4860,20160128
6508747;3381,20160129
1990214;4660,20160125
5203686;5341,20160207
7130026;8037,20160327
5038289;5152,20160321
4334807;2099,20160207
4167584;3381,20160123
3249608;3532,20160322
4182550;450,20160202
3780721;7974,20160324
571033;3381,20160129
810172;4084,20160527
1856995;6650,20160327
2769748;3342,20160608
3315172;2934,20160325
1029431;4860,20160127
4522248;3381,20160129
5323721;760,20160325
4259982;3381,20160128
6287678;8181,20160407
615676;5039,20160428
3481580;3381,20160125
1220707;8614,20160325
2662986;2020,20160221
3027087;5341,20160207
3717603;8305,20160511
127583;5725,20160506
3747318;8386,20160124
1608302;5341,20160207
592813;2099,20160207
4638993;3381,20160128
2570768;7884,20160525
6079880;611,20160323
4061320;3381,20160123
2313031;3621,20160519
2779853;5341,20160207
724194;3284,20160324
7087384;5341,20160207
18569;6485,20160321
4024143;450,20160128
615376;3381,20160126
5897579;8614,20160325
5016280;2934,20160325
815201;450,20160129
4629273;6901,20160326
339556;1080,20160517
6967460;7974,20160327
1187724;4583,20160519
3162314;3381,20160128
1599245;6485,20160322
6921540;6901,20160326
900912;3381,20160123
1129011;3710,20160204
4990481;1941,20160327
3646266;4860,20160124
3428246;4660,20160126
5948850;5341,20160207
1567181;3381,20160129
2303029;5113,20160327
2529764;3381,20160129
3472119;4083,20160517
6307257;2934,20160326
4828229;2099,20160207
4854532;5341,20160201
1790589;1169,20160128
2913814;1379,20160325
5415247;5341,20160125
2467035;7903,20160324
6838769;2099,20160207
3571349;5256,20160215
5973278;8390,20160326
6964767;1433,20160524
6293816;2099,20160207
3893322;6424,20160129
7102302;2934,20160322
3984093;6901,20160326
5300384;3381,20160129
5358058;3381,20160129
5918807;3381,20160124
5103228;2099,20160129
3154367;5341,20160207
458047;760,20160321
3366389;8305,20160511
2790352;1469,20160520
4771490;2709,20160131
3805839;5481,20160501
5210818;4070,20160525
1607244;5109,20160530
1066417;611,20160326
6062565;3381,20160128
2563997;6434,20160124
3568706;6284,20160124
6051294;3381,20160129
3460067;7555,20160124
5487037;3381,20160125
6835768;3381,20160123
4567487;2709,20160126
2661195;3786,20160125
6218907;208,20160522
6418150;1004,20160514
2635770;5341,20160207
3652350;3381,20160128
5126877;5353,20160526
6130138;3381,20160130
4879812;6284,20160124
348674;5341,20160125
3133630;1715,20160325
2183136;7903,20160324
4166657;1433,20160323
1573028;760,20160326
3167338;3381,20160129
5307336;5341,20160131
6994278;8390,20160321
3842049;3381,20160125
6360221;6710,20160501
301204;4663,20160124
7238209;3381,20160123
1146309;6485,20160324
6616586;6485,20160325
337580;8390,20160321
628455;7600,20160326
1455374;2436,20160321
6718018;4860,20160207
1248578;3381,20160129
2272573;8386,20160125
1563624;4860,20160115
5307278;42,20160324
6407223;2813,20160326
6370890;4860,20160206
2193882;2099,20160207
6805306;3381,20160124
1137126;5341,20160207
5814161;5152,20160525
4084034;1772,20160323
2676278;2709,20160128
6743214;1072,20160327
4431304;7113,20160427
4628014;5294,20160521
1192230;7679,20160326
4880119;5341,20160126
189941;6106,20160521
4979670;1430,20160506
5255433;7555,20160327
3743231;1469,20160520
2129910;2934,20160325
3254639;6803,20160323
6650239;3381,20160128
6282092;3621,20160519
1039411;5152,20160520
2804659;6388,20160512
2907123;8305,20160511
5771174;1469,20160604
4423349;2934,20160324
6522093;4860,20160131
3333438;3381,20160129
3209182;4142,20160130
6470119;3381,20160129
4431274;3293,20160523
5320051;5341,20160129
1728096;1169,20160128
2992883;4860,20160125
2150517;5341,20160204
1996558;2934,20160325
2755057;6485,20160325
4515438;4515,20160325
3763891;4888,20160613
331358;4663,20160124
4622696;5341,20160203
227906;5341,20160129
2361621;1041,20160325
5023625;3284,20160322
1702216;7717,20160208
4917734;6485,20160322
2016674;3381,20160129
4771488;2934,20160325
5645086;1041,20160124
5154122;760,20160524
2935197;3532,20160326
6360646;2099,20160207
5698759;1080,20160517
523192;1469,20160520
1609230;6485,20160325
271067;4808,20160521
1163766;2610,20160322
1688231;7600,20160525
3967744;5341,20160201
4467445;1620,20160503
6610987;3381,20160129
5629568;3381,20160124
5990507;7959,20160510
1528469;6029,20160528
2956333;3710,20160125
2146474;5341,20160129
3554238;8181,20160407
790952;3381,20160129
4159036;2322,20160528
5427035;2622,20160325
3300469;3381,20160124
6170430;2934,20160326
