uid,x1
3670017,5341
1572869,8211
524296,4405;2540
5155500,5092
3670026,5341
5242892,7220;7011
2097165,2036
7165272,3669
349529,1112
6291480,6826
4194332,3342
2097157,6106
3145760,1520
4194343,1192
7340072,450
6815786,2622;3532;8466
1572909,3075
7340078,1700
4194351,5651;2162
2097200,3352
6815795,760;8390;5341
5242933,4579;8181
2621494,7483
4718650,6650
3145787,2436
5242941,1433
4194372,1244;1715
349537,6485
4194376,7706;6901
524361,2050;2661
6291533,5341
2621453,5371;2022
3145809,2976
6815828,7422
1572954,1569;3679
5767262,1125
5242976,7113
3670122,599;3532
5767276,3381
5767281,3597
2097266,1469
1572979,1469
1048693,7555
2970985,6620
5767289,4760;1945
524412,6485
1572989,6986
3670142,7243
5243009,2216
1048706,3630
3670148,3710
6291591,2146
7340172,450
2097297,79;3903
7340178,915;7555
3670164,6485
4718746,7555
3670171,2934
3670173,5042
6389663,5041
165,2934;4195
6815912,5591
5767196,2661
524458,7555
4106951,5239
5767341,1041
4718768,3381
2621617,3532;2703
1048754,450;3284;6485
5243059,8390;3381
6553630,2199;58
5155529,5341
184,3381
5243065,5755
1048763,6683
5243073,4441;6905;6097
2097349,6021;1153
6553633,5687
524492,3094
2796237,7667
5243089,1440
6291667,8614
3145942,4606;5112
215,129
4194522,7555;3381
6815967,7592
2097382,3381
1048808,8580
6815979,4666
2621679,1041;8209
471376,797
1048819,4661
6291704,3381
1048832,1433
6291715,3546;1941
4718853,3599
524551,7974
2097416,7974
4944098,8473
698332,8832
3145998,1084;1125;5138
3146003,7884;2125;7840;2436
5505070,1469
2621719,1072
5243160,7008;2099;5341;6901;4142
7340314,1520
285,450
2097438,3429;1080;7011
6816041,3940
1573166,4906
6291761,380
3146035,4356
3670326,1132
3670328,1169
1573178,8546
315,3621;1295
316,2436
3351962,4663
3670069,4572
5243206,2099
1922444,200
1573195,3621;7884;4546
4893410,2059
3670350,8037
4194640,5320
5767506,1433
6291795,5998
5243224,6610
1048921,4002;4748;6485
1573211,7019
5243232,450
7340385,450
2621794,7892
4718948,3403
524645,4142
4312158,6485
3146094,8346
2621809,6485
4194678,1469
1485545,2094;480;6533;1900;6025
1573240,5341
2097529,5415
6029375,1469
3495317,5803
7340418,8181
1573254,8614
524682,2146
3670415,6803
2621841,1469
4718995,1440
1048985,7917
5243290,3532
417,775;3525
4194723,5006
3146148,6986
1573285,5341
5243304,2436
435,3381
6291893,5884
5767606,2661
6291896,7974
4194745,5728
7340478,2436
448,1482
3670465,2311
6816194,450;915
452,7605;7921
5767622,877
3146184,7717;5341;5074
3670473,7483;3381
2621899,450
4194766,5132
2097618,8292
467,6196
470,4155
5155577,6168;5152;7555
4194781,3719;187
4194782,345
7340513,1469
5767651,3710
17474,6485;1080;2914;3381
5243365,5553
6291942,218
3670503,1397
524776,7724
489,4057
7340522,1169
1136039,3353;3381
2621932,1469
1573357,2622;2973
2534141,760
5243379,5590
6378921,5256
1049089,8545;6198;8181
4312163,4099;3379
3146244,5577;1080
2621957,6021
6291974,6901
4194825,371;2461
3146250,7019
2621963,3251
6291982,8306
1049104,1830
7340561,7921
2621970,2934
2097688,1342
5767706,7921
2097698,615
2097702,7605
3757489,7974
7340585,564
3146283,1244
6292014,760;1433
4194867,7903
3670580,1837
7340126,60;1469
7340600,2970;3704
5767738,7717;1080
5243451,4338;7054
3146304,3360;3381
4719169,4356
4194882,4859
5767751,3394
7340616,6875
5767754,2934;3381
524877,7307
7340624,1379
3670611,1091
2622036,915
524886,1941
6816343,79
3146329,3381;5651
5243486,8527;6955;4937
2359397,4748;1125
3146337,1715
524898,7903;6762
6292073,3533;42;2436
1049195,8438
5918310,4600
524910,2436
7340655,3231;1672;3176
5243504,5021
1049206,2365
3407977,5294
6292088,4713
7340667,2813;2610
4194941,2099
524926,15
4194945,2970
5243522,5717
7340677,2622
4719241,1125;3551
6816394,760;1469;3381
3146379,1469
6029421,1433
6816400,8614
2622106,6481;2786;8109
5243549,2099;5341
2622111,4470
4719264,6945;3381
4194981,450
4456561,3381
4194985,5341;4142
3146411,4142
687,8594;6454
2097842,8181
2097843,4597
6292150,8023
1573559,8305
696,4195;3381
524987,3381
701,8692
2097855,3281
7340736,1539
7340737,8144
3495371,3170;6609
4195014,3045
3146442,4065
5767887,1839
1573584,6036;8741
4195025,760
6816469,3284
525014,5341
6816474,3251
4719325,2436
5767902,6575
738,691
1049315,7555
7340772,6485
5581662,2351
3670140,2970
755,3381
5767925,8818
4719351,3381
3146488,7164
6816506,4579
4719357,3381
766,3630
525055,4906
3146496,6907
525060,2934
1049350,2970
5505153,2404
2622223,5717
5243666,995
5767956,194
789,5216
6292246,3550;1080
6292253,382
798,797;7646
5767970,8688
6378971,4512
3146532,55;1715
2622245,4356
4195115,2436
4195119,1469
4195122,7052
6816566,3786
4678793,58
4719418,1360
1049403,2970
5155637,3381
3146561,3996
2097988,5152
4719429,450;3532
7340870,8182
4719432,8527
2622281,1469
3146570,7913
1922530,3381
2622292,2934
5768026,4579;7555
7340892,8688
3146589,2198
865,7993
5243748,5341
7340177,6485
3670889,4308
5768043,4579;8402;984
878,450
3670895,8080
881,3621
3146610,5341;6901
525172,3381
2513993,450;4356;2436
7340920,2146
7340923,4874
7340925,7974
6816638,760
2098047,8142;3532
7340929,1894;2788
7340933,6405
5768072,4070
4719498,1469
6816651,1598
4195216,5733
914,2987
6816660,8181;3381
6292376,1945
3334524,4238
1573787,202
4719516,3293
3670941,7917
6291611,2678;1469;4137
6816677,8614
1573798,8390;7717;4142
525227,1125
4019698,2934;1469
525231,2852
944,2709
945,2783
4195250,2436
947,8506;3284;6610;3381
948,4027;3532;3786
3146678,2714
6292411,7913
6816703,2436
1573826,5591;6485
3146695,2420
1573832,2870
1573834,7555
7341006,5878;2436
5243855,8420
1573843,2099;5341
1049557,2449
983,760;5907;4142
3146715,3532
1049565,8438
4719585,209
3146725,7828
1049574,87
6292457,1520;2099;5341;3381
2098154,2050
525294,3621
1049585,8564;7670
5768178,6284;5341
525302,3381
2098168,2436
1049597,5341
1049599,8181
3146752,4576
1049604,247
525318,122
7341063,1378
1035,8303
6292495,799
4195345,2934
2098195,6027
4195350,3381
6292503,7903;7206
4364555,2496
2098201,8678
5243932,7435
6641157,4356;6485
5768225,1469
5768226,5613;3249
4696259,7365;4143
2098216,391
1049641,5147
6292522,5557
3671086,2813
4719665,7872
7340211,4314
2098228,111
3757577,3381
3671096,3381
6816825,1080
5243964,5008
525383,3621
4195400,7903
6903308,7575
4195404,3621
5768269,806
4195406,8580;1433
3146832,4579
6292563,5633
1573972,4356;1892
2098261,6485
6816855,2036
525405,3293
7341151,1469
1049699,7967
3146852,2970
4719720,2970;6485
1485671,7555
4719725,760;8775
6292596,7717
2622582,6485
6292599,337
4980927,3611;2934
6816897,4146
593613,6513
1574020,3112
2184726,5420;7422;1080
2098311,5884
5768329,2873
3146890,7354;7959
6816908,4753
6292626,2050
1574035,8181
6990702,797
3671191,5341;6901;3578
4195483,3621
1183,1469
525477,2709
5768362,450
1202,4445
4958135,2099;171
1574070,1064
2622650,5253
7341243,2294
1574079,4736
2098369,450
2098370,2934
525508,6513
4195525,1793
1574086,2099;5341
1049801,5341
1226,760
5505229,6460
6292689,2622;8410
6292690,6454
1574099,1187
6005621,6424
3933020,7221
6292698,6346
3671259,2709;6485
7341277,1379
2098401,7221
209,3267
525546,2835
1574124,6289
3671278,2099
5244144,797
1049841,6551
2793335,2436
2098422,1125
2098426,7801
5244155,7717
5768444,75
2622717,4356
2622720,1336
7341313,5958
3671301,6825
5680001,2285
5768459,2342
2098446,303;6568
4195604,129;3611
1302,6963
1303,6907
7341336,450
